slug,name,division,category,status,build_state,test_state,implementation_count,test_count,has_all_system_libraries,risk_hint,coding_path_status,next_coding_step,target_workflow,production_readiness_status,fully_coded,production_ready,path
accessibility-auditor,Accessibility Auditor Bot,DreamCodeLab,app,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/accessibility-auditor
ach-processor,ACH Payment Processor,DreamPayments,ach,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ach-processor
ad-copy,Ad Copy Generator,DreamContent,ad-copy,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ad-copy
ad_copy_generator_bot,Ad Copy Generator Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ad_copy_generator_bot
adaptive-learning,Adaptive Learning Engine,DreamEducation,personalization,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/adaptive-learning
admin-analytics-elite,Administrative Intelligence Suite,DreamAdmin,analytics,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/admin-analytics-elite
adversarial-ai-defense,Adversarial AI Defense System,DreamCyber,ai-defense,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/adversarial-ai-defense
advertising_marketing_bot,Advertising Marketing Bot,DreamPayments,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/advertising_marketing_bot
advocacy-scorer,Advocacy Opportunity Scorer,DreamInfluence,advocacy-scoring,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/advocacy-scorer
advocacy-tracker,Legislative Advocacy Tracker,DreamSocial,advocacy,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/advocacy-tracker
affiliate-marketing,Affiliate Marketing Bot,DreamMarket,affiliate-marketing,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/affiliate-marketing
affiliate_bot,Affiliate Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/affiliate_bot
after-action-review,After-Action Review Generator,DreamMilitary,aar,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/after-action-review
ag-analytics-elite,Agricultural Intelligence Suite,DreamAgriculture,analytics,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ag-analytics-elite
agentgpt-browser,AgentGPT Browser Agent,DreamAgents,autonomous-agent,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/agentgpt-browser
ai-governance-hub,AI Governance Hub,DreamAIInfra,governance,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai-governance-hub
ai-models-integration,Ai Models Integration,DreamAgents,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ai-models-integration
ai-pair-prog,AI Pair Programmer,DreamCodeLab,pair-programming,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai-pair-prog
ai-security-scanner,AI Security Scanner,DreamAIInfra,security,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai-security-scanner
ai-self-learner,AI Self-Learning Module,CommandCore,system,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai-self-learner
ai-side-hustle-bots,Ai Side Hustle Bots,DreamFinance,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ai-side-hustle-bots
ai_brain,Ai Brain,DreamFinance,dreamco-system,active,built_and_test_covered,ready_for_test_run,4,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai_brain
ai_chatbot,Ai Chatbot,DreamCodeLab,dreamco-system,active,built_and_test_covered,ready_for_test_run,3,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai_chatbot
ai_enablement_hub,AI Enablement Hub,DreamAIInfra,AI Research,draft,profiled_from_existing_system_needs_direct_impl_check,needs_implementation_before_testing,0,0,True,standard,needs_core_implementation,"Create or map the bot implementation file, then regenerate contracts and tests.",bot-submission.yml,not_ready_missing_implementation,False,False,bots/ai_enablement_hub
ai_learning_system,Ai Learning System,DreamSalesPro,dreamco-system,active,built_and_test_covered,ready_for_test_run,11,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai_learning_system
ai_level_up_bot,Ai Level Up Bot,DreamPayments,dreamco-system,active,built_and_test_covered,ready_for_test_run,6,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ai_level_up_bot
ai_marketplace,Ai Marketplace,DreamPayments,dreamco-system,active,built_and_test_covered,ready_for_test_run,4,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ai_marketplace
ai_training_master_bot,Ai Training Master Bot,DreamMarket,dreamco-system,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/ai_training_master_bot
ai_transition_consultant_bot,Ai Transition Consultant Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ai_transition_consultant_bot
ai_writing_bot,Ai Writing Bot,DreamPayments,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/ai_writing_bot
alarm-monitoring,Alarm Monitoring Center,DreamProtection,alarm-systems,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/alarm-monitoring
algo-trading,Algorithmic Trading Bot,DreamFinance,trading,active,built_and_test_covered,ready_for_test_run,1,1,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/algo-trading
alidropship_money_bot,Alidropship Money Bot,DreamFinance,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/alidropship_money_bot
analytics-hub,Analytics Hub,CommandCore,system,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/analytics-hub
analytics_dashboard_bot,Analytics Dashboard Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,2,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/analytics_dashboard_bot
animal_science_bot,Animal Science Bot,DreamMarket,dreamco-system,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/animal_science_bot
animation-pipeline,Animation Pipeline Manager,DreamArts,animation,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/animation-pipeline
api-designer,API Design Studio,DreamCodeLab,api-design,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/api-designer
api-integration-hub,API Integration Hub,DreamAutomation,api-integration,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/api-integration-hub
api-monetization,API Monetization Engine,DreamAIInfra,api-monetization,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/api-monetization
api_kit_bot,Api Kit Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,4,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/api_kit_bot
app-perf-monitor,App Performance Monitor Bot,DreamCodeLab,monitoring,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/app-perf-monitor
app-store-optimizer,App Store Optimizer Bot,DreamSocial,marketing,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/app-store-optimizer
app_builder_bot,App Builder Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/app_builder_bot
apple-google-pay,Digital Wallet Integrator,DreamPayments,digital-wallet,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/apple-google-pay
appliance-repair,Appliance Repair Advisor,DreamMaintenance,appliance,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/appliance-repair
appointment-setter,Auto Appointment Setter,DreamSalesPro,pipeline,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/appointment-setter
approval-workflow,Approval Workflow Bot,DreamAutomation,approval-workflows,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/approval-workflow
aquaculture-mgr,Aquaculture Farm Manager,DreamAgriculture,aquaculture,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/aquaculture-mgr
arbitrage-finder,Arbitrage Finder Bot,DreamMarket,arbitrage,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/arbitrage-finder
art-portfolio,Artist Portfolio Builder,DreamArts,portfolio,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/art-portfolio
assembly-line,Assembly Line Optimizer,DreamProduction,assembly,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/assembly-line
assessment-builder,Assessment Builder AI,DreamEducation,assessment,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/assessment-builder
asset-perf-scorer,Asset Performance Scorer,DreamEntFinance,asset-performance,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/asset-perf-scorer
attack-surface-reducer,Attack Surface Reduction AI,DreamCyber,attack-surface,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/attack-surface-reducer
attendance-tracker,Smart Attendance System,DreamEducation,attendance,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/attendance-tracker
auto-defense-deploy,Automated Defense Deployment,DreamCyber,defense-automation,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-defense-deploy
auto-failover-ops,Auto-Failover Operations,DreamOps,failover-management,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-failover-ops
auto-loan,Auto Loan Comparison,DreamLoans,auto-loans,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-loan
auto-patch-mgr,Automated Patch Manager,DreamCyber,patch-management,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-patch-mgr
auto-recommender,Automated Recommendation Engine,DreamDecision,recommendation,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-recommender
auto-scaler,Empire Auto-Scaling Bot,DreamEmpire,auto-scaling,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-scaler
auto-scaling-tasks,Auto-Scaling Task Execution,DreamOps,auto-scaling,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto-scaling-tasks
auto_bot_factory,Auto Bot Factory,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,4,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/auto_bot_factory
auto_client_hunter,Auto Client Hunter,DreamSalesPro,Lead Generation,draft,profiled_from_existing_system_needs_direct_impl_check,needs_implementation_before_testing,0,0,True,standard,needs_core_implementation,"Create or map the bot implementation file, then regenerate contracts and tests.",bot-submission.yml,not_ready_missing_implementation,False,False,bots/auto_client_hunter
auto_scaler,Auto Scaler,DreamAutomation,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/auto_scaler
autogen-agent,AutoGen Conversational Agent,DreamAgents,autonomous-agent,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/autogen-agent
autogpt-agent,AutoGPT Autonomous Agent,DreamAgents,autonomous-agent,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/autogpt-agent
automation-gap-detector,Automation Gap Detector,DreamOps,automation-analysis,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/automation-gap-detector
automation_bot,Automation Bot,DreamMarket,dreamco-system,active,built_and_test_covered,ready_for_test_run,1,3,True,standard,on_full_code_path,"Run existing tests, keep contracts current, and expand behavior through reviewed pull requests.",pr-test-validation.yml,production_ready,True,True,bots/automation_bot
autonomous-fleet,Autonomous Fleet Command,DreamTransport,autonomous,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/autonomous-fleet
awards-decorations,Awards & Decorations Manager,DreamMilitary,awards,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/awards-decorations
babyagi-agent,BabyAGI Task Agent,DreamAgents,autonomous-agent,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/babyagi-agent
barber-booking,Barber Shop Booking System,DreamPersonalCare,barbershop,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/barber-booking
bartender-ai,Bar Inventory & Recipe Bot,DreamFood,bar,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/bartender-ai
beam-agent,Beam Self-Learning Agent,DreamAgents,autonomous-agent,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/beam-agent
beauty-school,Beauty School Admin,DreamPersonalCare,education,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/beauty-school
behavioral-anomaly-alert,Behavioral Anomaly Alert System,DreamCustIntel,behavioral-alerts,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/behavioral-anomaly-alert
benchmark-runner,AI Benchmark Runner,DreamAIInfra,benchmarking,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/benchmark-runner
beta-tester-bot,Beta Tester Bot,DreamCodeLab,testing,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/beta-tester-bot
bi-dashboard,BI Dashboard Creator,DreamData,bi-dashboards,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/bi-dashboard
big_bro_ai,Big Bro Ai,DreamFinance,dreamco-system,active,built_and_test_covered,ready_for_test_run,13,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/big_bro_ai
bill-reminder,Bill Payment Reminder,DreamLoans,bill-tracking,active,built_contract_ready,ready_for_contract_testing,1,0,True,high,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/bill-reminder
